,loss,accuracy,val_loss,val_accuracy
0,1.4950871467590332,0.40332499146461487,1.3998674154281616,0.4742000102996826
1,1.2146098613739014,0.5307499766349792,1.0567758083343506,0.5794000029563904
2,1.021361231803894,0.6266499757766724,0.8708650469779968,0.6823999881744385
3,0.894416093826294,0.6819750070571899,0.8405070304870605,0.6901000142097473
4,0.8316869139671326,0.705299973487854,0.7693188786506653,0.7168999910354614
5,0.7745087146759033,0.727400004863739,0.7691946029663086,0.7204999923706055
6,0.7326904535293579,0.7424499988555908,0.7696064114570618,0.7269999980926514
7,0.6957031488418579,0.753974974155426,0.8022851347923279,0.7182999849319458
8,0.6549699306488037,0.7656000256538391,0.763808012008667,0.7293000221252441
9,0.6159080862998962,0.7806749939918518,0.7803221940994263,0.7355999946594238
